131	127	122	125	135	44	73	47	7	20	120	20	53	59	135	45	123	135	34	126	119	79	104	34	136	47	106	116	87	23	39	126	139	79	60	99	44	88	80	117	135	104	87	80	124	145	7	3	145	29	88	88	131	77	32	3	97	126	143	32	122	13	29	145	69	127	126	99	125	83	67	
29	45	145	119	106	134	123	1	8	1	127	131	111	131	44	87	120	13	103	106	23	60	135	8	3	111	96	77	120	29	45	56	87	56	114	53	34	145	23	8	99	110	7	59	16	18	53	97	44	148	43	138	53	134	53	39	18	148	78	95	140	96	116	60	32	111	131	88	72	83	145	
140	88	146	16	59	136	13	120	53	146	124	134	116	16	145	138	3	124	4	47	56	29	119	140	69	131	18	120	126	60	69	103	60	87	120	87	40	1	3	131	125	4	124	47	4	84	51	139	87	96	119	3	59	1	145	80	78	32	104	45	96	146	13	51	89	116	64	53	143	72	97	
134	51	145	80	145	21	120	131	7	60	139	2	95	34	43	95	21	126	123	116	95	56	44	1	60	138	21	139	47	34	1	123	77	34	145	111	138	78	53	18	80	104	96	43	29	8	2	84	143	126	143	139	45	97	77	87	120	110	96	1	40	69	79	1	106	106	111	136	32	3	110	
72	67	78	16	122	135	72	131	120	124	83	2	126	99	131	89	97	1	131	135	119	2	72	16	95	7	39	13	18	123	56	124	111	104	77	103	124	44	67	44	145	148	124	4	1	20	143	73	138	119	64	13	114	3	60	83	145	139	53	44	3	83	47	124	73	146	97	4	88	95	16	
64	44	8	83	135	47	51	29	87	53	8	114	143	83	83	53	145	136	106	95	39	84	43	103	123	127	1	134	103	120	95	67	8	114	143	97	95	125	60	73	117	69	32	21	53	111	104	111	127	72	124	7	135	18	77	72	44	64	145	88	97	23	47	95	59	72	23	4	103	127	119	
2	3	117	56	111	148	40	43	84	99	123	96	87	60	59	83	20	60	148	73	1	135	79	16	32	1	77	89	16	8	40	47	40	44	64	1	53	16	69	87	146	122	96	59	97	119	117	7	80	44	23	111	131	29	1	51	114	119	45	40	138	44	143	134	139	126	131	64	32	34	72	
77	117	126	7	78	143	8	148	2	56	110	51	117	125	139	114	13	131	67	95	67	32	106	39	114	78	29	20	2	40	23	89	134	69	60	123	124	114	21	83	96	7	80	13	69	127	2	13	125	8	123	139	44	124	8	79	97	80	53	79	127	83	116	84	47	97	139	135	83	80	146	
78	45	87	99	114	103	79	103	122	51	77	143	29	18	60	13	13	89	18	32	140	8	103	104	79	122	1	8	117	104	53	56	39	84	64	104	32	124	87	96	67	45	88	79	1	120	83	95	140	47	84	78	73	140	140	116	127	51	72	126	83	45	56	136	77	139	60	4	80	69	114	
18	89	67	69	23	104	148	146	78	44	8	89	122	138	96	125	40	69	104	97	20	110	126	4	40	13	143	126	136	72	103	96	47	72	122	53	145	99	127	125	69	95	59	23	77	80	88	1	119	23	59	79	143	88	47	43	135	127	123	29	116	126	4	44	4	32	119	123	138	140	80	
